reg_id,year,number,change,file
Permen_Agama_2019_7,2019,7,Permen_Agama_2016_23,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn393-2019.json
Permen_Dag_2019_66,2019,66,Permen_Dag_2016_22,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn972-2019.json
Permen_Dag_2019_64,2019,64,Permen_Dag_2018_66,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn943-2019.json
Permen_Keu_2019_62,2019,62,Permen_Keu_2017_188,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn531-2019.json
PERMEN_DAG_2019_62,2019,62,PERMEN_DAG_2019_13,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn930-2019.json
PP_2019_62,2019,62,PP_2007_46,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/ln/2019/pp62-2019bt.json
Permen_Keu_2019_60,2019,60,Permen_Keu_2017_75,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn509-2019.json
PERMEN_DAG_2019_60,2019,60,PERMEN_DAG_2018_88,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn921-2019.json
Permen_KP_2019_6,2019,6,Permen_KP_2015_33,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn362-2019.json
Peraturan_BPJSKES_2019_6,2019,6,Peraturan_BPJSKES_2018_6,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn922-2019.json
PERATURAN_BKPM_2019_6,2019,6,PERATURAN_BKPM_2019_1,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_1053-2019.json
Peraturan_Jagung_2019_6,2019,6,Peraturan_Jagung_2017_006,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_1094-2019.json
Peraturan_KPU_2019_6,2019,6,Peraturan_KPU_2017_6,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn86_2019.json
PERATURAN_BPKB_2019_6,2019,6,PERATURAN_BPKB_2017_16,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn562-2019.json
Permen_Sos_2019_6,2019,6,Permen_Sos_2018_16,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn762-2019.json
PERMEN_PERIN_2019_6,2019,6,PERMEN_PERIN_7_36,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn218-2019.json
Permen_ATRBPN_2019_6,2019,6,Permen_ATRBPN_2014_14,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn585-2019.json
PERMEN_NAKER_2019_6,2019,6,PERMEN_NAKER_2018_25,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn505-2019.json
Permenko_Perekonomian_2019_6,2019,6,Permenko_Perekonomian_2017_11,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn829-2019.json
Permen_Agama_2019_6,2019,6,Permen_Agama_2018_13,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn392-2019.json
Permen_Kes_2019_59,2019,59,Permen_Kes_2018_23,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_426-2019.json
Permen_Dag_2019_59,2019,59,Permen_Dag_2018_24,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn839-2019.json
Permen_Keu_2019_57,2019,57,Permen_Keu_2016_96,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn506-2019.json
PP_2019_57,2019,57,PP_2018_48,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/ln/2019/pp57-2019bt.json
PP_2019_56,2019,56,PP_2018_39,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/ln/2019/pp56-2019bt.json
Permen_Dagri_2019_55,2019,55,Permen_Dagri_2018_115,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn969-2019.json
PP_2019_55,2019,55,PP_2009_16,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/ln/2019/pp55-2019bt.json
PERMEN_DAG_2019_53,2019,53,PERMEN_DAG_2019_06,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn920-2019.json
Permen_Dagri_2019_52,2019,52,Permen_Dagri_2019_14,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn901-2019.json
Permen_Dag_2019_50,2019,50,Permen_Dag_2015_83,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn782-2019.json
Permen_Keu_2019_5,2019,5,Permen_Keu_2017_21,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_51-2019.json
Permen_KP_2019_5,2019,5,Permen_KP_2013_23,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn173-2019.json
Peraturan_Jagung_2019_5,2019,5,Peraturan_Jagung_2015_019,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn500-2019.json
Peraturan_BKPM_2019_5,2019,5,Peraturan_BKPM_2018_6,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn821-2019.json
Peraturan_BPJSKES_2019_5,2019,5,Peraturan_BPJSKES_2015_4,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn770-2019.json
Peraturan_Basarnas_2019_5,2019,5,Peraturan_Basarnas_2017_16,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn973-2019.json
PERATURAN_POLRI_2019_5,2019,5,PERATURAN_POLRI_2017_6,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn504-2019.json
Peraturan_Bawaslu_2019_5,2019,5,Peraturan_Bawaslu_2017_18,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn419-2019.json
Permen_Agama_2019_5,2019,5,Permen_Agama_2018_23,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn313-2019.json
