new_doc,old_doc
Permen_Kes_2013_53,
Permen_Kes_2013_55,
Permen_Kes_2013_63,Permen_Kes_2010_1175
Permen_Kes_2013_71,Permen_Kes_2011_416
Peraturan_Bapeten_2013_1,Peraturan_Bapeten_2012_3
Peraturan_Bapeten_2013_6,
Peraturan_Bapeten_2013_8,
Peraturan_Bapeten_2013_10,Peraturan_Bapeten_2010_2
Peraturan_Bapeten_2013_12,
Permen_Hub_2013_14,Permen_Hub_2003_45
Permen_Hub_2013_28,Permen_Hub_2008_11
Permen_Hub_2013_28,Permen_Hub_2009_43
Permen_Hub_2013_29,Permen_Hub_2011_57
Permen_Hub_2013_31,Permen_Hub_2010_9
Permen_Hub_2013_70,Permen_Hub_2008_43
Permen_Hub_2013_74,Permen_Hub_2009_24
Permen_Hub_2013_8,Permen_Hub_2005_6
Permen_Hub_2013_86,Permen_Hub_2012_41
Permen_Hub_2013_90,Permen_Hub_2009_16
Permen_Hub_2013_16,Permen_Hub_2002_69
Permen_Hub_2013_67,Permen_Hub_2013_60
Permen_Hub_2013_68,Permen_Hub_2010_60
Permen_Hub_2013_82,
Peraturan_LIPI_2013_04,Peraturan_LIPI_2009_06
Permen_Sos_2013_02,
Permen_Sos_2013_05,Permen_Sos_2012_30
Permen_Sos_2013_07,Permen_Sos_2013_01
Permen_Sos_2013_11,Permen_Sos_2008_26
Peraturan_LKPP_2013_10,Peraturan_LKPP_2012_7
Peraturan_Bawaslu_2013_1,Peraturan_Bawaslu_2012_15
Peraturan_Bawaslu_2013_2,
Peraturan_Bawaslu_2013_3,Peraturan_Bawaslu_2012_14
Peraturan_Bawaslu_2013_4,
Peraturan_Bawaslu_2013_8,Peraturan_Bawaslu_2009_23
Peraturan_Bawaslu_2013_9,Peraturan_Bawaslu_2012_3
Peraturan_Bawaslu_2013_10,Peraturan_Bawaslu_2010_4
Peraturan_Bawaslu_2013_11,Peraturan_Bawaslu_2009_24
Peraturan_Bawaslu_2013_12,Peraturan_Bawaslu_2013_4
Peraturan_Bawaslu_2013_14,Peraturan_Bawaslu_2012_15
Peraturan_Bawaslu_2013_155,Peraturan_Bawaslu_2012_10
Permen_KP_2013_11,Permen_KP_2011_38
Permen_KP_2013_26,Permen_KP_2012_30
Permen_KP_2013_33,Permen_KP_2011_09
Permen_KP_2013_39,Permen_KP_2007_06
Permen_PU_2013_10,Permen_PU_2009_02
Permen_PU_2013_13,Permen_PU_2006_20
Permen_Agama_2013_31,Permen_Agama_2012_2
Permen_Agama_2013_33,Permen_Agama_2010_10
Permen_Agama_2013_74,Permen_Agama_2013_9
Permen_Agama_2013_76,Permen_Agama_2013_61
Permen_Agama_2013_77,Permen_Agama_2013_7
Permen_Agama_2013_80,Permen_Agama_2010_10
Permen_Agama_2013_81,Permen_Agama_2013_14
Permen_Agama_2013_82,Permen_Agama_2013_17
Permen_Agama_2013_83,Permen_Agama_2013_18
Permen_Agama_2013_84,Permen_Agama_2013_24
Permen_Agama_2013_86,Permen_Agama_2013_26
Permen_Agama_2013_87,Permen_Agama_2013_71
Permen_Agama_2013_97,Permen_Agama_2013_46
Peraturan_BKPM_2013_1,Peraturan_BKPM_2012_7
Peraturan_BKPM_2013_5,
Peraturan_BKPM_2013_8,Peraturan_BKPM_2010_5
Peraturan_BKPM_2013_9,Peraturan_BKPM_2010_6
Peraturan_BKPM_2013_11,
Peraturan_BKPM_2013_12,Peraturan_BKPM_2013_5
Permen_Dagri_2013_3,Permen_Dagri_2011_3
Permen_Dagri_2013_4,
Permen_Dagri_2013_19,Permen_Dagri_2005_35
Permen_Dagri_2013_16,Permen_Dagri_2012_37
Permen_Dagri_2013_17,Permen_Dagri_2011_24
Permen_Dagri_2013_20,Permen_Dagri_2009_44
Permen_Dagri_2013_24,Permen_Dagri_2012_29
Permen_Dagri_2013_26,Permen_Dagri_2009_24
Permen_Dagri_2013_28,Permen_Dagri_2012_79
Permen_Dagri_2013_34,Permen_Dagri_2011_57
Permen_Dagri_2013_42,Permen_Dagri_2010_31
Permen_Dagri_2013_46,Permen_Dagri_2012_29
Permen_Dagri_2013_70,Permen_Dagri_2012_29
Permen_PR_2013_07,Permen_PR_2012_10
Permen_PR_2013_08,Permen_PR_2010_21
Permen_Parekraf_2012_141,Permen_Budpar_2008_55
Permen_Parekraf_2013_64,Permen_Parekraf_2013_01
Permen_Parekraf_2013_66,Permen_Budpar_2008_55
Peraturan_BNN_2013_4,Peraturan_BNN_2010_4
Permen_Keu_2013_100,Permen_Keu_2010_76
Permen_Keu_2013_101,Permen_Keu_2013_41
Permen_Keu_2013_102,Permen_Keu_2012_205
Permen_Keu_2013_106,Permen_Keu_2010_93
Permen_Keu_2013_117,Permen_Keu_2013_32
Permen_Keu_2013_120,Permen_Keu_2011_147
Permen_Keu_2013_128,Permen_Keu_2012_75
Permen_Keu_2013_130,Permen_Keu_2013_121
Permen_Keu_2013_131,Permen_Keu_2013_78
Permen_Keu_2013_132,Permen_Keu_2013_16
Permen_Keu_2013_133,Permen_Keu_2011_213
Permen_Keu_2013_136,Permen_Keu_2013_44
Permen_Keu_2013_138,Permen_Keu_2009_113
Permen_Keu_2013_141,Permen_Keu_2013_99
Permen_Keu_2013_146,Permen_Keu_2010_154
Permen_Keu_2013_05,Permen_Keu_2013_14
Permen_Keu_2013_156,Permen_Keu_2012_160
Permen_Keu_2013_158,Permen_Keu_2010_174
Permen_Keu_2013_159,Permen_Keu_2010_175
Permen_Keu_2013_160,Permen_Keu_2010_176
Permen_Keu_2013_166,Permen_Keu_2013_32
Permen_Keu_2013_174,Permen_Keu_2012_33
Permen_Keu_2013_175,Permen_Keu_2010_154
Permen_Keu_2013_176,Permen_Keu_2011_254
Permen_Keu_2013_177,Permen_Keu_2011_253
Permen_Keu_2013_184,Permen_Keu_2013_23
Permen_Keu_2013_185,Permen_Keu_2012_207
Permen_Keu_2013_186,Permen_Keu_2013_22
Permen_Keu_2013_187,Permen_Keu_2013_21
Permen_Keu_2013_188,Permen_Keu_2012_222
Permen_Keu_2013_189,Permen_Keu_2013_19
Permen_Keu_2013_190,Permen_Keu_2013_20
Permen_Keu_2013_194,Permen_Keu_2013_94
Permen_Keu_2013_197,Permen_Keu_2010_68
